client_id,birth_number,district_id,gender,age,age_levels
97,651128,26,MALE,34,ADULT
98,730504,33,FEMALE,26,ADULT
99,730126,33,MALE,26,ADULT
100,420811,44,FEMALE,57,MIDDLE AGED
101,430123,68,MALE,56,MIDDLE AGED
102,580910,74,FEMALE,41,MIDDLE AGED
103,550711,74,MALE,44,MIDDLE AGED
105,800526,31,MALE,19,YOUTH
106,681230,68,FEMALE,31,ADULT
107,720623,1,MALE,27,ADULT
108,630913,17,MALE,36,MIDDLE AGED
110,670413,2,FEMALE,32,ADULT
112,350125,1,MALE,64,MIDDLE AGED
113,400815,1,FEMALE,59,MIDDLE AGED
114,690624,74,FEMALE,30,ADULT
115,691224,74,MALE,30,ADULT
116,420128,74,MALE,57,MIDDLE AGED
117,360920,74,FEMALE,63,MIDDLE AGED
118,220719,55,MALE,77,SENIOR
119,220228,55,FEMALE,77,SENIOR
120,760510,1,MALE,23,YOUTH
121,781029,41,FEMALE,21,YOUTH
122,631113,35,FEMALE,36,MIDDLE AGED
123,690212,11,MALE,30,ADULT
124,670921,44,MALE,32,ADULT
125,361031,37,MALE,63,MIDDLE AGED
126,290927,37,FEMALE,70,SENIOR
127,501227,21,FEMALE,49,MIDDLE AGED
128,730404,63,FEMALE,26,ADULT
129,470531,64,FEMALE,52,MIDDLE AGED
130,420214,53,MALE,57,MIDDLE AGED
131,770131,53,FEMALE,22,YOUTH
132,530126,36,MALE,46,MIDDLE AGED
134,320118,6,MALE,67,SENIOR
135,380910,6,FEMALE,61,MIDDLE AGED
136,210126,55,FEMALE,78,SENIOR
137,230914,60,MALE,76,SENIOR
138,721021,54,FEMALE,27,ADULT
139,590725,8,FEMALE,40,MIDDLE AGED
140,610606,8,MALE,38,MIDDLE AGED
141,251102,31,MALE,74,SENIOR
142,370621,68,MALE,62,MIDDLE AGED
143,780709,27,MALE,21,YOUTH
144,581206,65,MALE,41,MIDDLE AGED
145,780214,55,MALE,21,YOUTH
146,611219,31,FEMALE,38,MIDDLE AGED
147,331102,21,FEMALE,66,SENIOR
148,401225,21,MALE,59,MIDDLE AGED
149,480627,55,MALE,51,MIDDLE AGED
150,800927,2,FEMALE,19,YOUTH
151,710923,51,FEMALE,28,ADULT
152,451202,29,FEMALE,54,MIDDLE AGED
153,810212,13,FEMALE,18,YOUTH
154,330827,74,MALE,66,SENIOR
155,390313,74,FEMALE,60,MIDDLE AGED
156,300722,54,FEMALE,69,SENIOR
157,430709,52,FEMALE,56,MIDDLE AGED
158,450703,40,FEMALE,54,MIDDLE AGED
159,380910,40,MALE,61,MIDDLE AGED
160,420426,64,FEMALE,57,MIDDLE AGED
161,431007,34,FEMALE,56,MIDDLE AGED
162,411017,65,MALE,58,MIDDLE AGED
163,330612,74,MALE,66,SENIOR
164,620404,70,FEMALE,37,MIDDLE AGED
165,681108,22,MALE,31,ADULT
166,611022,22,FEMALE,38,MIDDLE AGED
167,780418,38,FEMALE,21,YOUTH
168,761105,24,FEMALE,23,YOUTH
169,530912,38,MALE,46,MIDDLE AGED
170,460616,38,FEMALE,53,MIDDLE AGED
171,290625,51,MALE,70,SENIOR
172,351005,51,FEMALE,64,MIDDLE AGED
173,181208,21,FEMALE,81,SENIOR
174,781110,10,MALE,21,YOUTH
175,600713,31,MALE,39,MIDDLE AGED
176,290311,4,MALE,70,SENIOR
178,601222,8,MALE,39,MIDDLE AGED
179,801229,43,MALE,19,YOUTH
180,820119,73,MALE,17,YOUTH
181,670706,76,MALE,32,ADULT
182,590713,76,FEMALE,40,MIDDLE AGED
183,780319,1,FEMALE,21,YOUTH
184,720605,1,MALE,27,ADULT
185,540530,77,MALE,45,MIDDLE AGED
186,610222,46,FEMALE,38,MIDDLE AGED
187,420823,58,MALE,57,MIDDLE AGED
188,600902,64,MALE,39,MIDDLE AGED
189,190810,11,MALE,80,SENIOR
190,471031,37,FEMALE,52,MIDDLE AGED
191,540903,37,MALE,45,MIDDLE AGED
192,710228,70,MALE,28,ADULT
193,620501,1,MALE,37,MIDDLE AGED
194,241220,28,FEMALE,75,SENIOR
195,191118,74,MALE,80,SENIOR
196,270625,74,FEMALE,72,SENIOR
197,330425,30,MALE,66,SENIOR
198,760714,60,MALE,23,YOUTH
199,230621,29,MALE,76,SENIOR
200,280113,29,FEMALE,71,SENIOR
201,300819,17,FEMALE,69,SENIOR
202,761121,29,FEMALE,23,YOUTH
203,620610,31,MALE,37,MIDDLE AGED
204,670617,31,FEMALE,32,ADULT
205,420615,4,FEMALE,57,MIDDLE AGED
206,630413,59,FEMALE,36,MIDDLE AGED
207,320520,46,MALE,67,SENIOR
208,400625,13,FEMALE,59,MIDDLE AGED
209,350820,13,MALE,64,MIDDLE AGED
210,391130,66,MALE,60,MIDDLE AGED
211,450628,66,FEMALE,54,MIDDLE AGED
212,750210,52,MALE,24,YOUTH
215,670924,71,MALE,32,ADULT
216,600130,1,MALE,39,MIDDLE AGED
217,741222,59,FEMALE,25,ADULT
218,800123,1,FEMALE,19,YOUTH
219,640402,60,FEMALE,35,ADULT
221,770225,21,FEMALE,22,YOUTH
222,720629,47,FEMALE,27,ADULT
223,520227,43,FEMALE,47,MIDDLE AGED
224,550511,77,MALE,44,MIDDLE AGED
225,360510,32,MALE,63,MIDDLE AGED
226,420616,1,MALE,57,MIDDLE AGED
227,261218,52,FEMALE,73,SENIOR
228,560316,48,FEMALE,43,MIDDLE AGED
229,690722,76,MALE,30,ADULT
230,670310,74,FEMALE,32,ADULT
231,410218,41,MALE,58,MIDDLE AGED
232,210617,55,FEMALE,78,SENIOR
233,581203,69,FEMALE,41,MIDDLE AGED
234,550621,69,MALE,44,MIDDLE AGED
235,430828,44,FEMALE,56,MIDDLE AGED
236,610901,70,MALE,38,MIDDLE AGED
237,690222,70,FEMALE,30,ADULT
238,611128,6,FEMALE,38,MIDDLE AGED
239,740910,1,FEMALE,25,ADULT
240,290617,34,FEMALE,70,SENIOR
241,590123,70,MALE,40,MIDDLE AGED
242,610801,17,FEMALE,38,MIDDLE AGED
243,540210,63,MALE,45,MIDDLE AGED
246,701228,67,FEMALE,29,ADULT
247,570508,1,MALE,42,MIDDLE AGED
248,691212,61,FEMALE,30,ADULT
249,700505,61,MALE,29,ADULT
250,791125,8,FEMALE,20,YOUTH
251,760303,54,FEMALE,23,YOUTH
252,690901,37,FEMALE,30,ADULT
253,470512,48,FEMALE,52,MIDDLE AGED
254,630530,28,MALE,36,MIDDLE AGED
255,511011,27,FEMALE,48,MIDDLE AGED
256,630227,73,FEMALE,36,MIDDLE AGED
257,421104,22,FEMALE,57,MIDDLE AGED
258,370531,22,MALE,62,MIDDLE AGED
259,660608,31,MALE,33,ADULT
260,620224,31,FEMALE,37,MIDDLE AGED
261,371207,38,FEMALE,62,MIDDLE AGED
262,451125,77,MALE,54,MIDDLE AGED
263,620520,68,MALE,37,MIDDLE AGED
264,780822,28,MALE,21,YOUTH
265,330107,72,FEMALE,66,SENIOR
266,670828,19,FEMALE,32,ADULT
267,670612,37,MALE,32,ADULT
268,820502,39,FEMALE,17,YOUTH
269,231203,15,FEMALE,76,SENIOR
270,470308,46,MALE,52,MIDDLE AGED
271,450727,46,FEMALE,54,MIDDLE AGED
272,441025,70,FEMALE,55,MIDDLE AGED
273,720515,27,FEMALE,27,ADULT
274,701125,17,FEMALE,29,ADULT
275,181112,1,FEMALE,81,SENIOR
276,570611,1,MALE,42,MIDDLE AGED
277,611128,1,FEMALE,38,MIDDLE AGED
278,721227,22,FEMALE,27,ADULT
279,700516,22,MALE,29,ADULT
280,691218,45,FEMALE,30,ADULT
282,380224,73,FEMALE,61,MIDDLE AGED
283,331104,73,MALE,66,SENIOR
284,740806,10,MALE,25,ADULT
285,540603,72,MALE,45,MIDDLE AGED
286,520418,72,FEMALE,47,MIDDLE AGED
287,800909,50,MALE,19,YOUTH
288,620421,6,MALE,37,MIDDLE AGED
289,580327,54,MALE,41,MIDDLE AGED
290,590112,72,MALE,40,MIDDLE AGED
291,550427,72,FEMALE,44,MIDDLE AGED
292,580906,15,FEMALE,41,MIDDLE AGED
293,430927,69,MALE,56,MIDDLE AGED
294,680321,58,MALE,31,ADULT
295,390327,12,MALE,60,MIDDLE AGED
296,740301,65,MALE,25,ADULT
297,240315,65,FEMALE,75,SENIOR
298,210613,65,MALE,78,SENIOR
300,570730,1,FEMALE,42,MIDDLE AGED
301,420110,28,MALE,57,MIDDLE AGED
302,710223,56,MALE,28,ADULT
303,460506,74,MALE,53,MIDDLE AGED
304,340311,19,FEMALE,65,SENIOR
305,380608,46,MALE,61,MIDDLE AGED
308,760612,68,FEMALE,23,YOUTH
309,691214,37,FEMALE,30,ADULT
310,500416,11,MALE,49,MIDDLE AGED
311,300916,64,FEMALE,69,SENIOR
312,240703,2,MALE,75,SENIOR
313,420511,24,FEMALE,57,MIDDLE AGED
314,450322,24,MALE,54,MIDDLE AGED
315,670501,54,MALE,32,ADULT
316,550428,75,MALE,44,MIDDLE AGED
317,571006,64,FEMALE,42,MIDDLE AGED
318,430402,15,FEMALE,56,MIDDLE AGED
319,290404,19,FEMALE,70,SENIOR
320,341112,19,MALE,65,SENIOR
321,431024,47,FEMALE,56,MIDDLE AGED
322,330201,38,MALE,66,SENIOR
323,380404,38,FEMALE,61,MIDDLE AGED
324,601203,3,MALE,39,MIDDLE AGED
325,600221,3,MALE,39,MIDDLE AGED
326,670918,27,FEMALE,32,ADULT
327,681013,27,MALE,31,ADULT
328,180124,1,FEMALE,81,SENIOR
329,641203,11,MALE,35,ADULT
330,440805,65,FEMALE,55,MIDDLE AGED
331,420302,1,MALE,57,MIDDLE AGED
332,780725,29,MALE,21,YOUTH
333,711019,38,MALE,28,ADULT
334,691031,32,MALE,30,ADULT
335,670722,73,FEMALE,32,ADULT
336,640211,39,FEMALE,35,ADULT
337,570508,39,MALE,42,MIDDLE AGED
338,510619,8,FEMALE,48,MIDDLE AGED
339,660730,1,MALE,33,ADULT
340,700819,1,FEMALE,29,ADULT
341,770316,69,MALE,22,YOUTH
342,720630,69,FEMALE,27,ADULT
343,191119,44,MALE,80,SENIOR
344,630716,54,FEMALE,36,MIDDLE AGED
345,531207,17,MALE,46,MIDDLE AGED
346,601102,17,FEMALE,39,MIDDLE AGED
347,591213,71,MALE,40,MIDDLE AGED
348,530124,71,FEMALE,46,MIDDLE AGED
349,270527,39,FEMALE,72,SENIOR
350,250402,25,FEMALE,74,SENIOR
351,730501,1,MALE,26,ADULT
352,400827,56,MALE,59,MIDDLE AGED
353,651026,7,MALE,34,ADULT
354,220427,49,FEMALE,77,SENIOR
355,300531,49,MALE,69,SENIOR
356,791207,1,FEMALE,20,YOUTH
357,790330,1,MALE,20,YOUTH
358,590626,7,FEMALE,40,MIDDLE AGED
359,700216,66,MALE,29,ADULT
360,430427,49,MALE,56,MIDDLE AGED
361,770525,74,FEMALE,22,YOUTH
362,500427,35,FEMALE,49,MIDDLE AGED
363,420701,35,MALE,57,MIDDLE AGED
364,421205,54,FEMALE,57,MIDDLE AGED
365,300109,1,MALE,69,SENIOR
366,361110,1,FEMALE,63,MIDDLE AGED
367,630903,60,FEMALE,36,MIDDLE AGED
368,681014,60,MALE,31,ADULT
369,301106,7,FEMALE,69,SENIOR
370,560105,71,FEMALE,43,MIDDLE AGED
371,420716,4,MALE,57,MIDDLE AGED
372,320403,34,MALE,67,SENIOR
373,360228,16,MALE,63,MIDDLE AGED
374,670614,26,MALE,32,ADULT
375,690929,61,FEMALE,30,ADULT
376,730108,14,FEMALE,26,ADULT
378,780515,50,MALE,21,YOUTH
379,831013,50,FEMALE,16,YOUTH
380,730119,41,MALE,26,ADULT
381,770126,73,FEMALE,22,YOUTH
382,780630,73,MALE,21,YOUTH
383,390517,15,FEMALE,60,MIDDLE AGED
384,351008,15,MALE,64,MIDDLE AGED
385,480324,45,MALE,51,MIDDLE AGED
386,800821,62,MALE,19,YOUTH
387,270606,76,MALE,72,SENIOR
388,501030,36,FEMALE,49,MIDDLE AGED
389,740630,47,FEMALE,25,ADULT
390,770127,47,FEMALE,22,YOUTH
391,330522,47,FEMALE,66,SENIOR
392,500401,74,FEMALE,49,MIDDLE AGED
393,560831,74,MALE,43,MIDDLE AGED
394,240518,52,FEMALE,75,SENIOR
395,190705,52,MALE,80,SENIOR
396,200502,1,MALE,79,SENIOR
397,300327,75,MALE,69,SENIOR
398,250326,61,FEMALE,74,SENIOR
399,520414,45,MALE,47,MIDDLE AGED
400,331227,1,MALE,66,SENIOR
401,281119,1,FEMALE,71,SENIOR
402,431225,3,MALE,56,MIDDLE AGED
403,730526,42,FEMALE,26,ADULT
404,670420,42,MALE,32,ADULT
405,341019,65,FEMALE,65,SENIOR
406,770515,36,MALE,22,YOUTH
407,750527,73,FEMALE,24,YOUTH
408,780222,35,FEMALE,21,YOUTH
409,250618,74,MALE,74,SENIOR
410,621220,62,MALE,37,MIDDLE AGED
411,410414,17,FEMALE,58,MIDDLE AGED
412,440417,17,MALE,55,MIDDLE AGED
413,721118,49,FEMALE,27,ADULT
414,471019,46,FEMALE,52,MIDDLE AGED
415,450401,46,MALE,54,MIDDLE AGED
416,321007,1,FEMALE,67,SENIOR
417,300610,1,MALE,69,SENIOR
418,661013,28,MALE,33,ADULT
419,701007,64,FEMALE,29,ADULT
420,780313,18,MALE,21,YOUTH
421,650731,54,MALE,34,ADULT
422,461207,69,MALE,53,MIDDLE AGED
423,570623,37,MALE,42,MIDDLE AGED
424,471008,1,MALE,52,MIDDLE AGED
425,480212,25,MALE,51,MIDDLE AGED
426,370601,72,MALE,62,MIDDLE AGED
427,410914,72,FEMALE,58,MIDDLE AGED
428,191116,47,FEMALE,80,SENIOR
429,810120,50,FEMALE,18,YOUTH
430,200728,39,MALE,79,SENIOR
431,271001,24,FEMALE,72,SENIOR
432,520326,59,FEMALE,47,MIDDLE AGED
433,550207,62,MALE,44,MIDDLE AGED
434,430130,70,FEMALE,56,MIDDLE AGED
435,671023,20,MALE,32,ADULT
436,550615,2,MALE,44,MIDDLE AGED
437,200117,11,FEMALE,79,SENIOR
438,380928,32,MALE,61,MIDDLE AGED
439,680912,51,FEMALE,31,ADULT
440,700707,15,FEMALE,29,ADULT
441,590914,1,MALE,40,MIDDLE AGED
442,711216,1,FEMALE,28,ADULT
443,711220,1,MALE,28,ADULT
444,600801,74,FEMALE,39,MIDDLE AGED
445,470427,1,FEMALE,52,MIDDLE AGED
446,520319,1,MALE,47,MIDDLE AGED
447,460904,23,MALE,53,MIDDLE AGED
448,700815,77,FEMALE,29,ADULT
450,531127,25,MALE,46,MIDDLE AGED
451,790414,12,MALE,20,YOUTH
452,531022,55,FEMALE,46,MIDDLE AGED
453,690716,67,MALE,30,ADULT
454,490615,38,FEMALE,50,MIDDLE AGED
455,200726,68,MALE,79,SENIOR
456,400228,25,MALE,59,MIDDLE AGED
457,500926,70,MALE,49,MIDDLE AGED
458,610724,68,MALE,38,MIDDLE AGED
459,670723,32,FEMALE,32,ADULT
461,700813,68,FEMALE,29,ADULT
462,701221,14,MALE,29,ADULT
463,440405,38,MALE,55,MIDDLE AGED
464,590730,24,FEMALE,40,MIDDLE AGED
465,520901,5,MALE,47,MIDDLE AGED
466,471119,1,FEMALE,52,MIDDLE AGED
467,500417,1,MALE,49,MIDDLE AGED
468,590427,72,MALE,40,MIDDLE AGED
469,701013,59,FEMALE,29,ADULT
470,540421,30,FEMALE,45,MIDDLE AGED
471,770111,44,MALE,22,YOUTH
472,811227,36,MALE,18,YOUTH
473,390925,1,FEMALE,60,MIDDLE AGED
474,490531,46,MALE,50,MIDDLE AGED
476,470601,1,FEMALE,52,MIDDLE AGED
477,540720,1,MALE,45,MIDDLE AGED
478,780621,21,MALE,21,YOUTH
479,470820,11,MALE,52,MIDDLE AGED
480,460124,11,FEMALE,53,MIDDLE AGED
481,270122,69,MALE,72,SENIOR
482,340122,69,FEMALE,65,SENIOR
483,440619,1,MALE,55,MIDDLE AGED
484,590913,28,FEMALE,40,MIDDLE AGED
485,780516,32,MALE,21,YOUTH
486,440412,68,MALE,55,MIDDLE AGED
487,220401,1,FEMALE,77,SENIOR
488,170802,1,MALE,82,SENIOR
489,401007,41,MALE,59,MIDDLE AGED
490,501023,55,MALE,49,MIDDLE AGED
491,660805,63,MALE,33,ADULT
492,351026,72,MALE,64,MIDDLE AGED
493,420604,41,FEMALE,57,MIDDLE AGED
494,800519,1,MALE,19,YOUTH
495,370407,49,FEMALE,62,MIDDLE AGED
496,510521,70,FEMALE,48,MIDDLE AGED
497,530202,74,MALE,46,MIDDLE AGED
498,480115,74,FEMALE,51,MIDDLE AGED
499,350708,18,FEMALE,64,MIDDLE AGED
500,710106,1,MALE,28,ADULT
501,371028,62,MALE,62,MIDDLE AGED
502,191208,6,MALE,80,SENIOR
503,590724,73,MALE,40,MIDDLE AGED
504,790801,36,MALE,20,YOUTH
505,771221,13,MALE,22,YOUTH
506,460816,75,MALE,53,MIDDLE AGED
507,541116,75,MALE,45,MIDDLE AGED
508,710428,53,MALE,28,ADULT
509,800502,73,MALE,19,YOUTH
510,760415,12,MALE,23,YOUTH
511,590218,9,MALE,40,MIDDLE AGED
512,650803,60,FEMALE,34,ADULT
513,740111,8,FEMALE,25,ADULT
514,681115,8,MALE,31,ADULT
515,320526,1,MALE,67,SENIOR
516,300427,1,FEMALE,69,SENIOR
517,650725,63,MALE,34,ADULT
518,790428,54,FEMALE,20,YOUTH
519,800413,18,MALE,19,YOUTH
520,470927,46,FEMALE,52,MIDDLE AGED
521,751225,69,MALE,24,YOUTH
522,560304,1,FEMALE,43,MIDDLE AGED
523,221217,38,MALE,77,SENIOR
524,630102,30,FEMALE,36,MIDDLE AGED
525,690814,30,MALE,30,ADULT
526,640201,43,MALE,35,ADULT
527,660818,43,FEMALE,33,ADULT
528,770211,37,MALE,22,YOUTH
529,781105,69,MALE,21,YOUTH
530,570927,29,FEMALE,42,MIDDLE AGED
531,761004,27,MALE,23,YOUTH
532,800903,27,FEMALE,19,YOUTH
533,410519,54,FEMALE,58,MIDDLE AGED
534,570722,74,MALE,42,MIDDLE AGED
535,370909,26,MALE,62,MIDDLE AGED
536,390825,47,MALE,60,MIDDLE AGED
537,350116,1,MALE,64,MIDDLE AGED
538,480510,5,FEMALE,51,MIDDLE AGED
540,210728,19,MALE,78,SENIOR
541,270309,19,FEMALE,72,SENIOR
542,210209,59,FEMALE,78,SENIOR
543,580415,11,FEMALE,41,MIDDLE AGED
544,481116,63,MALE,51,MIDDLE AGED
545,731011,75,FEMALE,26,ADULT
546,530825,7,MALE,46,MIDDLE AGED
547,490331,54,MALE,50,MIDDLE AGED
548,371204,49,MALE,62,MIDDLE AGED
550,611130,7,MALE,38,MIDDLE AGED
551,760705,47,FEMALE,23,YOUTH
552,340508,1,FEMALE,65,SENIOR
553,410407,1,MALE,58,MIDDLE AGED
554,250419,30,FEMALE,74,SENIOR
555,261021,30,MALE,73,SENIOR
556,460708,29,MALE,53,MIDDLE AGED
557,390717,51,MALE,60,MIDDLE AGED
558,200705,43,FEMALE,79,SENIOR
559,720905,32,FEMALE,27,ADULT
560,671216,71,FEMALE,32,ADULT
561,621110,74,FEMALE,37,MIDDLE AGED
562,750922,49,FEMALE,24,YOUTH
563,610909,72,FEMALE,38,MIDDLE AGED
564,550124,72,MALE,44,MIDDLE AGED
565,590703,64,FEMALE,40,MIDDLE AGED
566,460305,47,FEMALE,53,MIDDLE AGED
567,500502,47,MALE,49,MIDDLE AGED
568,600719,8,FEMALE,39,MIDDLE AGED
569,620615,73,MALE,37,MIDDLE AGED
570,410131,61,FEMALE,58,MIDDLE AGED
571,240927,3,MALE,75,SENIOR
572,200804,3,FEMALE,79,SENIOR
573,670810,69,MALE,32,ADULT
574,721225,1,MALE,27,ADULT
575,700404,58,MALE,29,ADULT
576,740512,58,FEMALE,25,ADULT
577,631205,1,FEMALE,36,MIDDLE AGED
578,770707,23,FEMALE,22,YOUTH
579,330531,72,FEMALE,66,SENIOR
581,490204,70,FEMALE,50,MIDDLE AGED
582,500926,1,MALE,49,MIDDLE AGED
583,650101,75,FEMALE,34,ADULT
584,760513,33,FEMALE,23,YOUTH
585,420221,40,FEMALE,57,MIDDLE AGED
586,471103,40,MALE,52,MIDDLE AGED
587,450708,25,FEMALE,54,MIDDLE AGED
588,601020,61,FEMALE,39,MIDDLE AGED
589,610917,45,MALE,38,MIDDLE AGED
590,490215,44,MALE,50,MIDDLE AGED
591,741029,65,FEMALE,25,ADULT
592,650718,26,MALE,34,ADULT
593,540710,60,FEMALE,45,MIDDLE AGED
596,481024,69,MALE,51,MIDDLE AGED
597,430222,55,MALE,56,MIDDLE AGED
598,701231,1,MALE,29,ADULT
599,770518,1,FEMALE,22,YOUTH
601,660312,56,MALE,33,ADULT
602,650116,56,FEMALE,34,ADULT
603,660309,13,FEMALE,33,ADULT
604,650731,1,FEMALE,34,ADULT
605,700827,1,FEMALE,29,ADULT
606,490125,10,FEMALE,50,MIDDLE AGED
607,640330,64,MALE,35,ADULT
608,720831,67,MALE,27,ADULT
609,620902,52,MALE,37,MIDDLE AGED
610,790810,74,FEMALE,20,YOUTH
611,521013,36,MALE,47,MIDDLE AGED
612,601110,36,FEMALE,39,MIDDLE AGED
613,770810,1,FEMALE,22,YOUTH
614,470203,14,FEMALE,52,MIDDLE AGED
615,490913,68,FEMALE,50,MIDDLE AGED
616,750101,58,MALE,24,YOUTH
617,740314,70,MALE,25,ADULT
618,320316,57,FEMALE,67,SENIOR
619,200907,6,MALE,79,SENIOR
620,180213,6,FEMALE,81,SENIOR
621,390317,54,MALE,60,MIDDLE AGED
622,311123,74,FEMALE,68,SENIOR
623,250904,24,MALE,74,SENIOR
624,320726,24,FEMALE,67,SENIOR
625,781124,60,FEMALE,21,YOUTH
626,800413,9,MALE,19,YOUTH
627,720411,17,MALE,27,ADULT
628,700527,17,FEMALE,29,ADULT
629,760310,16,MALE,23,YOUTH
630,520303,61,MALE,47,MIDDLE AGED
631,560322,70,FEMALE,43,MIDDLE AGED
632,460316,67,MALE,53,MIDDLE AGED
633,380612,67,FEMALE,61,MIDDLE AGED
635,270629,17,FEMALE,72,SENIOR
636,350217,17,MALE,64,MIDDLE AGED
637,701215,39,FEMALE,29,ADULT
638,610203,54,FEMALE,38,MIDDLE AGED
639,780802,31,MALE,21,YOUTH
640,790415,26,MALE,20,YOUTH
641,620704,40,FEMALE,37,MIDDLE AGED
642,631025,40,MALE,36,MIDDLE AGED
643,490613,1,FEMALE,50,MIDDLE AGED
644,610423,35,FEMALE,38,MIDDLE AGED
645,251221,14,MALE,74,SENIOR
646,220929,34,FEMALE,77,SENIOR
647,290406,34,MALE,70,SENIOR
648,350928,70,FEMALE,64,MIDDLE AGED
649,780502,13,FEMALE,21,YOUTH
651,760127,54,FEMALE,23,YOUTH
652,381208,61,MALE,61,MIDDLE AGED
653,301121,1,FEMALE,69,SENIOR
654,420517,64,FEMALE,57,MIDDLE AGED
655,421210,32,MALE,57,MIDDLE AGED
656,560606,1,MALE,43,MIDDLE AGED
657,260710,8,FEMALE,73,SENIOR
658,261221,8,MALE,73,SENIOR
659,651207,24,MALE,34,ADULT
660,230322,16,MALE,76,SENIOR
661,190115,16,FEMALE,80,SENIOR
662,450807,5,MALE,54,MIDDLE AGED
663,230120,24,MALE,76,SENIOR
664,800319,77,FEMALE,19,YOUTH
665,320405,62,FEMALE,67,SENIOR
666,820523,26,MALE,17,YOUTH
667,810720,26,FEMALE,18,YOUTH
668,421225,1,FEMALE,57,MIDDLE AGED
669,561219,12,FEMALE,43,MIDDLE AGED
670,590121,1,MALE,40,MIDDLE AGED
671,710227,10,FEMALE,28,ADULT
672,291109,46,FEMALE,70,SENIOR
673,391029,36,MALE,60,MIDDLE AGED
674,270111,11,FEMALE,72,SENIOR
675,751112,50,MALE,24,YOUTH
